text,title
"YouTube Subscriptions","YouTube Subscriptions"
Galvanize,Galvanize,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UC6CFuXHLJQ_30gOxUTEFj_g
"VR Trailers & Clips","VR Trailers & Clips",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UC6_1jVpemDn0O8FBdmahkgQ
"The B1M","The B1M",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UC6n8I1UDTKP1IWjQMg6_TwA
"Everyday Astronaut","Everyday Astronaut",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UC6uKrU_WqJ1R2HMTY3LIx5Q
Oculus,Oculus,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UC766vkQw0Mz3VtXX5XvXxGQ
"The School of Life","The School of Life",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UC7IcJI8PUf5Z3zKxnZvTBog
"PBS Space Time","PBS Space Time",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UC7_gcs09iThXybpVgjHZ_7g
"nature video","nature video",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UC7c8mE90qCtu11z47U0KErg
"The TWIML AI Podcast with Sam Charrington","The TWIML AI Podcast with Sam Charrington",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UC7kjWIK1H8tfmFlzZO-wHMw
"Boston Dynamics","Boston Dynamics",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UC7vVhkEfw4nOGp8TyDk7RcQ
"William Candillon","William Candillon",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UC806fwFWpiLQV5y-qifzHnA
"Nucleus Medical Media","Nucleus Medical Media",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UC85VW73bQLEjs_taFKP7TwQ
"Pieter Abbeel","Pieter Abbeel",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UC88M-XNc4BlzJVJvOyiHZDQ
"Institute for Advanced Study","Institute for Advanced Study",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UC8aRaZ6_0weiS50pvCmo0pw
"Trevor Noah","Trevor Noah",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UC8bTQzxgvKkXDAaWkeuUlkg
freeCodeCamp.org,freeCodeCamp.org,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UC8butISFwT-Wl7EV0hUK0BQ
"Carnegie Mellon University Deep Learning","Carnegie Mellon University Deep Learning",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UC8hYZGEkI2dDO8scT8C5UQA
"PyTorch Lightning","PyTorch Lightning",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UC8m-y0yAFJpX0hRvxH8wJVw
"AMBOSS: Medical Knowledge Distilled","AMBOSS: Medical Knowledge Distilled",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UC8xEQrU6VhJU6pDZd-GkJWg
"Red Hat Summit","Red Hat Summit",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UC9CjkhQp1jX8Hbtbg6OZ9dw
Blackthornprod,Blackthornprod,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UC9Z1XWw1kmnvOOFsj6Bzy2g
a16z,a16z,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UC9cn0TuPq4dnbTY-CBsm8XA
"Rachit Jain","Rachit Jain",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UC9fDC_eBh9e_bogw87DbGKQ
"Preserve Knowledge","Preserve Knowledge",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UC9p_wQs8b8SHvfJSuuxEnvw
"Cerebras Systems","Cerebras Systems",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCAAJD_MScghZj9R1cUZ3c8w
"Primitive Technology","Primitive Technology",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCAL3JXZSzSm8AlZyD3nQdBA
"Dr James Gill","Dr James Gill",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCApL0DjgL7e1ZmvMM40A9Uw
TED,TED,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCAuUUnT6oDeKwE6v1NGQxug
"Real Vision Finance","Real Vision Finance",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCBH5VZE_Y4F3CMcPIzPEB5A
"NVIDIA Developer","NVIDIA Developer",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCBHcMCGaiJhv-ESTcWGJPcw
BMF,BMF,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCBJ1rwS7ARoCWLdab0wLD-Q
stanfordonline,stanfordonline,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCBa5G_ESCn8Yd4vw5U-gIcg
"Harvard Law School","Harvard Law School",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCBcn1VNOJUsPNrsCJGTcquw
"ALL ABOUT ELECTRONICS","ALL ABOUT ELECTRONICS",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCBkOVp1Cqz4MR0LYR8vKpZg
"Weights & Biases","Weights & Biases",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCBp3w4DCEC64FZr4k9ROxig
MITCSAIL,MITCSAIL,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCBpxspUNl1Th33XbugiHJzw
"Best English Speeches","Best English Speeches",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCCBR08dMtsbQn9qKxNMzZBA
Devoxx,Devoxx,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCCBVCTuk6uJrN3iFV_3vurg
SISL,SISL,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCCEKLgJ4Rc2fMebAq4hdgHg
"Extra Credits","Extra Credits",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCCODtTcd5M1JavPCOr_Uydg
"Microsoft Research","Microsoft Research",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCCb9_Kn8F_Opb3UCGm-lILQ
TechCrunch,TechCrunch,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCCjyq_K1Xwfg8Lndy7lKMpA
"Aurélien Géron","Aurélien Géron",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCCvGd1WBMpFQ_vtC89VF2qA
"GGV Capital","GGV Capital",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCD3f5kLd5y_DUS6DMcHaUZQ
